datetime,load_forecast
1/2/2016 0:00,1056.9
1/2/2016 1:00,1057.1
1/2/2016 2:00,996.5
1/2/2016 3:00,955.8
1/2/2016 4:00,918
1/2/2016 5:00,908.3
1/2/2016 6:00,957.8
1/2/2016 7:00,1058.8
1/2/2016 8:00,1165.4
1/2/2016 9:00,1234
1/2/2016 10:00,1254.2
1/2/2016 11:00,1248
1/2/2016 12:00,1241.1
1/2/2016 13:00,1236.3
1/2/2016 14:00,1217.8
1/2/2016 15:00,1180.2
1/2/2016 16:00,1150.8
1/2/2016 17:00,1168
1/2/2016 18:00,1226
1/2/2016 19:00,1260.6
1/2/2016 20:00,1238.3
1/2/2016 21:00,1216.6
1/2/2016 22:00,1120.6
1/2/2016 23:00,1113.2
1/3/2016 0:00,1005.3
1/3/2016 1:00,1005.8
1/3/2016 2:00,956.4
1/3/2016 3:00,950.9
1/3/2016 4:00,942.8
1/3/2016 5:00,914.3
1/3/2016 6:00,889.3
1/3/2016 7:00,898.8
1/3/2016 8:00,950.5
1/3/2016 9:00,1026.7
1/3/2016 10:00,1098.5
1/3/2016 11:00,1143.5
1/3/2016 12:00,1153.9
1/3/2016 13:00,1136.3
1/3/2016 14:00,1108.1
1/3/2016 15:00,1091.3
1/3/2016 16:00,1103.9
1/3/2016 17:00,1150.4
1/3/2016 18:00,1207.1
1/3/2016 19:00,1235.9
1/3/2016 20:00,1226.3
1/3/2016 21:00,1215.5
1/3/2016 22:00,1178.8
1/3/2016 23:00,1084.8
1/4/2016 0:00,1038.2
1/4/2016 1:00,970.9
1/4/2016 2:00,943.8
1/4/2016 3:00,926
1/4/2016 4:00,911.3
1/4/2016 5:00,935.1
1/4/2016 6:00,1024.8
1/4/2016 7:00,1165.9
1/4/2016 8:00,1310.4
1/4/2016 9:00,1412.2
1/4/2016 10:00,1458.1
1/4/2016 11:00,1469.9
1/4/2016 12:00,1478.6
1/4/2016 13:00,1494.4
1/4/2016 14:00,1495.2
1/4/2016 15:00,1450.6
1/4/2016 16:00,1362.1
1/4/2016 17:00,1278.1
1/4/2016 18:00,1258.1
1/4/2016 19:00,1301.3
1/4/2016 20:00,1327.4
1/4/2016 21:00,1268.9
1/4/2016 22:00,1193.4
1/4/2016 23:00,1120
1/5/2016 0:00,1051.6
1/5/2016 1:00,988
1/5/2016 2:00,959.2
1/5/2016 3:00,951.4
1/5/2016 4:00,929.6
1/5/2016 5:00,927.9
1/5/2016 6:00,991
1/5/2016 7:00,1119.9
1/5/2016 8:00,1269.8
1/5/2016 9:00,1388.6
1/5/2016 10:00,1450.7
1/5/2016 11:00,1474.7
1/5/2016 12:00,1489
1/5/2016 13:00,1497.1
1/5/2016 14:00,1487
1/5/2016 15:00,1441.3
1/5/2016 16:00,1367.5
1/5/2016 17:00,1318.3
1/5/2016 18:00,1310.1
1/5/2016 19:00,1323
1/5/2016 20:00,1306.7
1/5/2016 21:00,1264.7
1/5/2016 22:00,1221
1/5/2016 23:00,1131.3
1/6/2016 0:00,1052.4
1/6/2016 1:00,1024.6
1/6/2016 2:00,961.3
1/6/2016 3:00,936
1/6/2016 4:00,918.5
1/6/2016 5:00,925
1/6/2016 6:00,990.7
1/6/2016 7:00,1118
1/6/2016 8:00,1267
1/6/2016 9:00,1386.3
1/6/2016 10:00,1450.6
1/6/2016 11:00,1472.1
1/6/2016 12:00,1449.6
1/6/2016 13:00,1488.8
1/6/2016 14:00,1487.4
1/6/2016 15:00,1453.3
1/6/2016 16:00,1389.1
1/6/2016 17:00,1334.4
1/6/2016 18:00,1326.9
1/6/2016 19:00,1342.2
1/6/2016 20:00,1317.6
1/6/2016 21:00,1220.6
1/6/2016 22:00,1142.4
1/6/2016 23:00,1041.2
1/7/2016 0:00,1033.1
1/7/2016 1:00,999.7
1/7/2016 2:00,960.8
1/7/2016 3:00,946.5
1/7/2016 4:00,920.7
1/7/2016 5:00,922
1/7/2016 6:00,998.5
1/7/2016 7:00,1144.1
1/7/2016 8:00,1299.1
1/7/2016 9:00,1404.5
1/7/2016 10:00,1446.5
1/7/2016 11:00,1458.6
1/7/2016 12:00,1480
1/7/2016 13:00,1494.4
1/7/2016 14:00,1523.6
1/7/2016 15:00,1449.3
1/7/2016 16:00,1381.7
1/7/2016 17:00,1314.1
1/7/2016 18:00,1315.8
1/7/2016 19:00,1342.3
1/7/2016 20:00,1326.6
1/7/2016 21:00,1276.7
1/7/2016 22:00,1215.2
1/7/2016 23:00,1145.4
1/8/2016 0:00,1059.2
1/8/2016 1:00,992.1
1/8/2016 2:00,964.5
1/8/2016 3:00,962
1/8/2016 4:00,929
1/8/2016 5:00,913.2
1/8/2016 6:00,979
1/8/2016 7:00,1127.1
1/8/2016 8:00,1294.7
1/8/2016 9:00,1414.1
